date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:31	1307/1307	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2017:20:30%20GMT	https://prodigitalbundle.in/robots.txt		(from )
22:50:33	388406/388406	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Apr%202021%2006:29:53%20GMT	https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds	C:/My%20Web%20Sites/pro%20marketing/prodigitalbundle.in/index3024.html	(from )
22:50:35	59362/59362	---M--	200	added ('OK')	image/png	etag:%22ef282eacd1f064b8ec45203a16ecd1ad%22	https://assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1607013228_pro%20digital%20logo.png?update=2	C:/My%20Web%20Sites/pro%20marketing/assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1607013228_pro%20digital%20logoa0d8.png	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:36	355730/355730	---MCZ	200	added ('OK')	text/css	etag:W/%2260910e34-56d92%22	https://app.groovefunnels.com/groovepages/css/inpage_published.css	C:/My%20Web%20Sites/pro%20marketing/app.groovefunnels.com/groovepages/css/inpage_published.css	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:38	5344/5344	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2009:04:52%20GMT	https://app.groovefunnels.com/groovepages/css/chunk-vendors.css	C:/My%20Web%20Sites/pro%20marketing/app.groovefunnels.com/groovepages/css/chunk-vendors.html	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:38	93774/93774	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2005%20May%202021%2017:20:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/pro%20marketing/connect.facebook.net/en_US/fbevents.js	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:39	10866/10866	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2005%20May%202021%2017:20:38%20GMT	https://kit.fontawesome.com/e7647a48d4.js	C:/My%20Web%20Sites/pro%20marketing/kit.fontawesome.com/e7647a48d4.js	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:40	115326/115326	---M--	200	added ('OK')	image/jpeg	etag:%2204b5462783e1efdb1c9a55889275ec2f%22	https://assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1606056845Oalh2MojUuk.jpg?update=2	C:/My%20Web%20Sites/pro%20marketing/assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1606056845Oalh2MojUuka0d8.jpg	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:41	115326/115326	---M--	200	added ('OK')	image/jpeg	etag:%2204b5462783e1efdb1c9a55889275ec2f%22	https://assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1606056845Oalh2MojUuk.jpg	C:/My%20Web%20Sites/pro%20marketing/assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1606056845Oalh2MojUuk.jpg	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
22:50:42	107591/107591	---M--	200	added ('OK')	image/jpeg	etag:%2294b6b2017d7d6b9dacac075655cfb15c%22	https://assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1606225049LrgP3N8UCpw.jpg	C:/My%20Web%20Sites/pro%20marketing/assets.grooveapps.com/images/5ee5bd55eae640001312fb26/1606225049LrgP3N8UCpw.jpg	(from https://prodigitalbundle.in/?fbclid=IwAR2yHJfv1pnqeruWW7lySwnJG-buY8nhEem4p5088zK5F_-wGUqYmHwJ6Ds)
